;;;;;;;;;;;;
seg;21/1/2013;;07:22;12:00;13:00;17:16;;;;;;
ter;22/1/2013;;07:42;12:00;13:00;17:16;;;;;;
qua;23/1/2013;;13:08;17:18;;;;;;;;
qui;24/1/2013;;07:39;12:00;13:00;17:18;;;;;;
sex;25/1/2013;;07:11;12:00;13:00;16:18;;;;;;
sáb;26/1/2013;;;;;;;;;;;
dom;27/1/2013;;;;;;;;;;;
seg;28/1/2013;;07:19;12:00;13:00;17:24;;;;;;
ter;29/1/2013;;07:22;12:00;13:00;17:26;;;;;;
qua;30/1/2013;;09:02;12:00;13:00;17:17;;;;;;
qui;31/1/2013;;07:32;12:00;13:00;15:57;;;;;;
sex;1/2/2013;;07:22;12:00;13:00;16:24;;;;;;
sáb;2/2/2013;;;;;;;;;;;
dom;3/2/2013;;;;;;;;;;;
seg;4/2/2013;ferias;;;;;;;;;;
ter;5/2/2013;ferias;;;;;;;;;;
qua;6/2/2013;ferias;;;;;;;;;;
qui;7/2/2013;ferias;;;;;;;;;;
sex;8/2/2013;ferias;;;;;;;;;;
sáb;9/2/2013;ferias;;;;;;;;;;
dom;10/2/2013;ferias;;;;;;;;;;
seg;11/2/2013;ferias;;;;;;;;;;
ter;12/2/2013;ferias;;;;;;;;;;
qua;13/2/2013;ferias;;;;;;;;;;
qui;14/2/2013;ferias;;;;;;;;;;
sex;15/2/2013;ferias;;;;;;;;;;
sáb;16/2/2013;ferias;;;;;;;;;;
dom;17/2/2013;ferias;;;;;;;;;;
seg;18/2/2013;ferias;;;;;;;;;;
ter;19/2/2013;ferias;;;;;;;;;;
qua;20/2/2013;ferias;;;;;;;;;;
Soma;;;;;;;;;;;;
;;;;;;;;;;;;
qui;21/2/2013;ferias;;;;;;;;;;
sex;22/2/2013;ferias;;;;;;;;;;
sáb;23/2/2013;ferias;;;;;;;;;;
dom;24/2/2013;;;;;;;;;;;
seg;25/2/2013;;07:11;09:29;13:04;17:15;;;;;;
ter;26/2/2013;;07:15;12:00;13:00;17:49;;;;;;
