qua;24/09/2014;;17:52;22:00;23:00;03:14;;
qui;25/09/2014;;17:47;22:00;23:00;03:15;;
sex;26/09/2014;;17:44;21:00;22:00;02:20;;
s�b;27/09/2014;;;;;;;
dom;28/09/2014;;;;;;;
seg;29/09/2014;;17:49;22:00;23:00;03:15;;
ter;30/09/2014;;17:53;22:00;23:00;03:15;;
qua;01/10/2014;;17:48;22:00;23:00;03:14;;
qui;02/10/2014;;17:47;22:00;23:00;03:14;;
sex;03/10/2014;;17:47;21:00;22:00;02:20;;
s�b;04/10/2014;;;;;;;
dom;05/10/2014;;;;;;;
seg;06/10/2014;;18:45;22:00;23:00;03:14;;
ter;07/10/2014;;17:45;22:00;23:00;03:13;;
qua;08/10/2014;;17:52;22:00;23:00;03:23;;
qui;09/10/2014;;17:47;22:00;23:00;03:18;;
sex;10/10/2014;;;;;;;
s�b;11/10/2014;;;;;;;
dom;12/10/2014;Feriado;;;;;;
seg;13/10/2014;;17:49;22:00;23:00;03:15;;
ter;14/10/2014;;17:49;22:00;23:00;03:16;;
qua;15/10/2014;;17:48;22:00;23:00;03:10;;
qui;16/10/2014;;17:53;22:00;23:00;03:13;;
sex;17/10/2014;;17:47;21:00;22:00;02:20;;
s�b;18/10/2014;;;;;;;
dom;19/10/2014;;;;;;;
seg;20/10/2014;;18:00;22:00;23:00;03:13;;
Soma;;;;;;;;
ter;21/10/2014;;17:48;22:00;23:00;03:13;;
qua;22/10/2014;Atestado;;;;;;
qui;23/10/2014;Atestado;;;;;;
sex;24/10/2014;;17:54;21:00;22:00;03:27;;
s�b;25/10/2014;;;;;;;
dom;26/10/2014;;;;;;;
seg;27/10/2014;;17:49;22:00;23:00;03:16;;
ter;28/10/2014;;17:47;22:00;23:00;03:13;;
qua;29/10/2014;;17:55;22:00;23:00;03:14;;
qui;30/10/2014;;17:47;22:00;23:00;03:13;;
sex;31/10/2014;;17:47;21:00;22:00;03:14;;
s�b;01/11/2014;;;;;;;
dom;02/11/2014;Feriado;;;;;;
seg;03/11/2014;;17:45;22:00;23:00;03:13;;
ter;04/11/2014;;17:49;22:00;23:00;03:13;;
qua;05/11/2014;;17:45;22:00;23:00;03:15;;
qui;06/11/2014;;17:46;22:00;23:00;03:14;;
sex;07/11/2014;;17:58;21:00;22:00;03:13;;
s�b;08/11/2014;;;;;;;
dom;09/11/2014;;;;;;;
seg;10/11/2014;;17:44;22:00;23:00;03:14;;
ter;11/11/2014;;17:45;22:42;;;;
qua;12/11/2014;;06:55;12:00;13:00;16:56;;
qui;13/11/2014;;06:53;12:00;13:00;16:49;;
sex;14/11/2014;;06:55;12:00;13:00;16:47;;
s�b;15/11/2014;Feriado;;;;;;
dom;16/11/2014;;;;;;;
seg;17/11/2014;;06:45;12:00;13:00;16:51;;
ter;18/11/2014;;06:53;12:00;13:00;17:00;;
qua;19/11/2014;;06:51;12:00;13:00;16:50;;
qui;20/11/2014;;06:53;12:00;13:00;16:48;;
Soma;;;;;;;;
sex;21/11/2014;;06:45;12:00;13:00;16:51;;
s�b;22/11/2014;;;;;;;
dom;23/11/2014;;;;;;;
seg;24/11/2014;;06:50;12:00;13:00;16:49;;
ter;25/11/2014;;06:54;12:00;13:00;14:41;;
qua;26/11/2014;;05:56;12:00;13:00;16:48;;
qui;27/11/2014;;06:49;12:00;13:00;16:49;;
sex;28/11/2014;;06:50;12:00;13:00;16:47;;
s�b;29/11/2014;;08:46;13:18;;;;
dom;30/11/2014;;;;;;;
seg;01/12/2014;;06:46;12:00;13:00;16:52;;
ter;02/12/2014;;06:45;12:00;13:00;16:49;;
qua;03/12/2014;;06:45;12:00;13:00;16:52;;
qui;04/12/2014;;06:45;12:00;13:00;22:01;;
sex;05/12/2014;;06:49;12:00;13:00;16:48;;
s�b;06/12/2014;;07:14;12:14;14:26;18:45;;
dom;07/12/2014;;;;;;;
seg;08/12/2014;;06:45;12:00;13:00;16:48;;
ter;09/12/2014;;06:53;12:00;13:00;16:49;;
qua;10/12/2014;;06:46;12:00;13:00;16:47;;
qui;11/12/2014;;06:46;12:00;13:00;16:49;;
sex;12/12/2014;;06:47;12:00;13:00;16:49;;
s�b;13/12/2014;;;;;;;
dom;14/12/2014;;;;;;;
seg;15/12/2014;;06:45;12:00;13:00;16:51;;
ter;16/12/2014;;06:45;12:00;13:00;16:48;;
qua;17/12/2014;;06:45;12:00;13:00;16:50;;
Soma;;;;;;;;
qui;18/12/2014;;06:46;12:00;13:00;16:49;;
sex;19/12/2014;;06:46;12:00;13:00;16:57;;
s�b;20/12/2014;;06:45;12:00;13:00;16:51;;
dom;21/12/2014;;;;;;;
seg;22/12/2014;;06:45;12:00;13:00;16:49;;
ter;23/12/2014;;06:46;12:00;13:00;16:48;;
qua;24/12/2014;Licenca R.;;;;;;
qui;25/12/2014;Licenca R.;;;;;;
sex;26/12/2014;Licenca R.;;;;;;
s�b;27/12/2014;;;;;;;
dom;28/12/2014;;;;;;;
seg;29/12/2014;Licenca R.;;;;;;
ter;30/12/2014;Licenca R.;;;;;;
qua;31/12/2014;Licenca R.;;;;;;
qui;01/01/2015;Licenca R.;;;;;;
sex;02/01/2015;Licenca R.;;;;;;
s�b;03/01/2015;;;;;;;
dom;04/01/2015;;;;;;;
seg;05/01/2015;;06:46;12:00;13:00;16:52;;
ter;06/01/2015;;06:45;12:00;13:00;16:46;;
qua;07/01/2015;;06:47;12:00;13:00;16:48;;
qui;08/01/2015;;06:45;12:00;13:00;16:48;;
sex;09/01/2015;;06:45;12:00;13:00;16:48;;
s�b;10/01/2015;;;;;;;
dom;11/01/2015;;;;;;;
seg;12/01/2015;;06:45;12:00;13:00;16:47;;
ter;13/01/2015;;06:45;12:00;13:00;16:47;;
qua;14/01/2015;;06:45;12:00;13:00;16:47;;
qui;15/01/2015;;06:45;12:00;13:00;16:48;;
sex;16/01/2015;;06:45;12:00;13:00;16:47;;
s�b;17/01/2015;;15:01;21:15;22:15;02:41;;
dom;18/01/2015;;;;;;;
seg;19/01/2015;Licenca R.;;;;;;
ter;20/01/2015;Licenca R.;;;;;;
Soma;;;;;;;;
qua;21/01/2015;Licenca R.;;;;;;
qui;22/01/2015;Licenca R.;;;;;;
sex;23/01/2015;Licenca R.;;;;;;
s�b;24/01/2015;;;;;;;
dom;25/01/2015;;;;;;;
seg;26/01/2015;Licenca R.;;;;;;
ter;27/01/2015;Licenca R.;;;;;;
qua;28/01/2015;Licenca R.;;;;;;
qui;29/01/2015;;06:45;12:00;13:00;16:46;;
sex;30/01/2015;;06:45;12:00;13:00;16:47;;
s�b;31/01/2015;;06:17;12:43;12:54;17:00;;
dom;01/02/2015;;;;;;;
seg;02/02/2015;;06:45;12:00;13:00;16:49;;
ter;03/02/2015;;06:45;12:00;13:00;16:49;;
qua;04/02/2015;;06:45;12:00;13:00;16:47;;
qui;05/02/2015;;06:45;12:00;13:00;16:48;;
sex;06/02/2015;;06:53;12:00;13:00;16:46;;
s�b;07/02/2015;;;;;;;
dom;08/02/2015;;;;;;;
seg;09/02/2015;;06:45;12:00;13:00;16:49;;
ter;10/02/2015;;06:51;12:00;13:00;20:56;;
qua;11/02/2015;;06:34;12:00;13:00;21:20;;
qui;12/02/2015;;06:26;12:00;13:00;20:57;;
sex;13/02/2015;;06:22;12:00;13:00;18:17;;
s�b;14/02/2015;;06:00;12:00;13:00;17:38;;
dom;15/02/2015;;;;;;;
seg;16/02/2015;;06:28;12:00;13:00;19:57;;
ter;17/02/2015;Feriado;06:27;12:00;13:00;20:56;;
qua;18/02/2015;;06:21;12:00;13:00;20:05;;
qui;19/02/2015;;06:48;12:00;13:00;16:50;;
sex;20/02/2015;;06:45;12:00;13:00;16:52;;
Soma;;;;;;;;
s�b;21/02/2015;;;;;;;
dom;22/02/2015;;;;;;;
seg;23/02/2015;;06:45;12:00;13:00;17:01;;
ter;24/02/2015;;06:48;12:00;13:00;16:46;;
qua;25/02/2015;Atestado P.;06:45;10:30;10:30;12:00;13:00;16:46
qui;26/02/2015;;06:48;12:00;13:00;16:46;;
sex;27/02/2015;;06:45;12:00;13:00;16:49;;
s�b;28/02/2015;;06:20;12:00;12:24;17:12;;
dom;01/03/2015;;;;;;;
seg;02/03/2015;;06:45;12:00;13:00;17:15;;
ter;03/03/2015;;06:00;12:00;13:00;16:51;;
qua;04/03/2015;;06:47;12:00;13:00;16:46;;
qui;05/03/2015;;06:47;12:00;13:00;16:53;;
sex;06/03/2015;;06:45;12:00;13:00;16:48;;
s�b;07/03/2015;;06:24;12:18;;;;
dom;08/03/2015;;;;;;;
seg;09/03/2015;Atestado;;;;;;
ter;10/03/2015;Atestado;;;;;;
qua;11/03/2015;Atestado;;;;;;
qui;12/03/2015;;06:46;12:00;13:00;16:51;;
sex;13/03/2015;;06:46;12:00;13:00;16:50;;
s�b;14/03/2015;;06:32;12:21;;;;
dom;15/03/2015;;;;;;;
seg;16/03/2015;;06:47;12:00;13:00;16:51;;
ter;17/03/2015;;06:45;12:00;13:00;16:48;;
qua;18/03/2015;;06:46;12:00;13:00;16:50;;
qui;19/03/2015;;06:55;12:00;13:00;16:50;;
sex;20/03/2015;;06:48;12:00;13:00;16:50;;
Soma;;;;;;;;
