qui;12/06/2014;;16:09;20:53;21:53;01:30;;;
sex;13/06/2014;;16:11;20:51;21:53;01:32;;;
sáb;14/06/2014;;;;;;;;
dom;15/06/2014;;;;;;;;
seg;16/06/2014;;16:04;20:54;21:55;01:45;;;
ter;17/06/2014;;15:51;20:52;21:54;02:02;;;
qua;18/06/2014;;15:20;20:51;21:56;02:34;;;
qui;19/06/2014;;16:10;21:04;22:07;01:53;;;
sex;20/06/2014;;16:05;20:51;21:54;02:02;;;
Soma;;;;;;;;;
sáb;21/06/2014;;;;;;;;
dom;22/06/2014;;;;;;;;
seg;23/06/2014;;16:00;20:50;21:51;02:01;;;
ter;24/06/2014;;15:24;20:58;22:02;01:45;;;
qua;25/06/2014;;16:11;20:55;21:56;02:01;;;
qui;26/06/2014;;16:11;20:50;21:51;02:12;;;
sex;27/06/2014;;16:11;20:58;21:58;02:15;;;
sáb;28/06/2014;;;;;;;;
dom;29/06/2014;;;;;;;;
seg;30/06/2014;;16:06;20:56;22:02;02:02;;;
ter;01/07/2014;;16:11;20:52;21:52;02:05;;;
qua;02/07/2014;;16:11;20:50;21:53;01:55;;;
qui;03/07/2014;;16:11;21:02;22:07;01:56;;;
sex;04/07/2014;;;;;;;;
sáb;05/07/2014;;;;;;;;
dom;06/07/2014;;;;;;;;
seg;07/07/2014;;16:12;20:49;21:52;01:47;;;
ter;08/07/2014;;16:14;21:20;22:20;01:43;;;
qua;09/07/2014;;16:13;20:55;21:57;01:44;;;
qui;10/07/2014;;16:11;20:50;21:50;02:21;;;
sex;11/07/2014;;15:40;21:02;22:02;02:23;;;
sáb;12/07/2014;;;;;;;;
dom;13/07/2014;;;;;;;;
seg;14/07/2014;;16:14;20:58;21:58;03:18;;;
ter;15/07/2014;;16:09;20:57;21:57;02:11;;;
qua;16/07/2014;;16:10;21:18;22:18;01:51;;;
qui;17/07/2014;;16:08;20:59;22:15;02:01;;;
sex;18/07/2014;;16:08;20:59;21:59;02:01;;;
sáb;19/07/2014;;;;;;;;
dom;20/07/2014;;;;;;;;
Soma;;;;;;;;;
seg;21/07/2014;;16:12;20:59;21:59;01:52;;;
ter;22/07/2014;;16:10;20:51;21:54;02:40;;;
qua;23/07/2014;;16:13;21:18;22:18;02:06;;;
qui;24/07/2014;;16:10;20:56;21:56;02:17;;;
sex;25/07/2014;;16:11;20:50;21:50;02:29;;;
sáb;26/07/2014;;;;;;;;
dom;27/07/2014;;;;;;;;
seg;28/07/2014;;16:15;21:02;22:02;01:56;;;
ter;29/07/2014;;16:09;20:48;21:48;01:58;;;
qua;30/07/2014;;16:12;20:50;21:53;01:35;;;
qui;31/07/2014;;16:11;20:41;21:45;01:50;;;
sex;01/08/2014;;16:13;20:44;21:48;02:00;;;
sáb;02/08/2014;;;;;;;;
dom;03/08/2014;;;;;;;;
seg;04/08/2014;;16:11;20:40;21:41;02:13;;;
ter;05/08/2014;;16:12;20:36;21:40;01:33;;;
qua;06/08/2014;;16:07;20:45;21:45;01:34;;;
qui;07/08/2014;;21:28;01:46;;;;;
sex;08/08/2014;;16:15;20:27;21:31;01:36;;;
sáb;09/08/2014;;;;;;;;
dom;10/08/2014;;;;;;;;
seg;11/08/2014;;16:01;20:44;21:49;01:39;;;
ter;12/08/2014;;15:27;20:48;21:51;01:53;;;
qua;13/08/2014;;16:13;20:44;21:44;02:07;;;
qui;14/08/2014;;15:56;20:56;21:58;01:35;;;
sex;15/08/2014;;14:44;20:20;21:20;01:50;;;
sáb;16/08/2014;;;;;;;;
dom;17/08/2014;;;;;;;;
seg;18/08/2014;;16:20;20:53;21:54;01:32;;;
ter;19/08/2014;;16:10;20:52;21:54;01:30;;;
qua;20/08/2014;;16:15;21:00;22:00;02:00;;;
Soma;;;;;;;;;
qui;21/08/2014;;15:54;20:46;21:49;01:30;;;
sex;22/08/2014;;15:51;20:56;21:57;01:48;;;
sáb;23/08/2014;;;;;;;;
dom;24/08/2014;;;;;;;;
seg;25/08/2014;;16:05;20:54;21:56;01:28;;;
ter;26/08/2014;;15:32;20:50;21:52;01:31;;;
qua;27/08/2014;;16:03;20:48;21:52;01:30;;;
qui;28/08/2014;;16:01;20:55;21:55;01:32;;;
sex;29/08/2014;;15:59;21:44;22:45;01:40;;;
sáb;30/08/2014;;;;;;;;
dom;31/08/2014;;;;;;;;
seg;01/09/2014;;15:56;20:47;21:53;02:47;;;
ter;02/09/2014;;15:27;20:56;21:58;02:09;;;
qua;03/09/2014;;16:14;20:54;21:57;01:31;;;
